,0
1393,-705709.288487
1394,-706872.034969
1395,-708518.179048
1396,-709435.889282
1397,-710718.465264
1398,-710483.554274
1399,-709492.892941
1400,-709248.013942
1401,-708777.495313
1402,-708360.046135
1403,-703097.838
1404,-703818.512913
1405,-706403.442356
1406,-709363.789847
1407,-708025.648008
1408,-707133.541093
1409,-705195.680402
1410,-703792.231618
1411,-704206.705906
1412,-705597.233884
1413,-701863.959337
1414,-702585.347452
1415,-706040.776123
1416,-710282.696397
1417,-710918.09865
1418,-707182.192512
1419,-705587.853329
1420,-708848.567051
1421,-708173.561969
1422,-708157.070939
1423,-707282.387111
1424,-708355.574567
1425,-708133.409126
1426,-708358.549505
1427,-704314.246581
1428,-700200.247349
1429,-701366.967709
1430,-706065.565841
1431,-707864.00784
1432,-707361.81363
1433,-708688.674064
1434,-709463.733399
1435,-709781.031239
1436,-708517.874138
1437,-706133.509852
1438,-707925.902984
1439,-709264.328983
1440,-709492.014185
1441,-709144.848208
1442,-707981.645042
1443,-705260.656858
1444,-705894.959135
1445,-706160.541599
1446,-704221.084637
1447,-705736.723854
1448,-709019.776249
1449,-708687.9026
1450,-708325.130446
1451,-709384.930922
1452,-708520.484351
1453,-709076.551557
1454,-710230.155711
1455,-709952.655951
1456,-709578.775485
1457,-709871.298054
1458,-709731.10978
1459,-709734.586691
1460,-708453.311884
1461,-704391.201419
1462,-698995.348654
1463,-702409.934626
1464,-702691.307152
1465,-704566.919521
1466,-705131.599958
1467,-702702.696088
1468,-700367.316149
1469,-701111.029419
1470,-708927.70682
1471,-708492.194385
1472,-705312.913878
1473,-705915.81285
1474,-708485.762094
1475,-709444.606754
1476,-707955.781385
1477,-707228.964373
1478,-707925.997691
1479,-705853.593526
1480,-706154.146083
1481,-706531.715538
1482,-705083.99351
1483,-707408.364556
1484,-706255.014466
1485,-705002.975979
1486,-707089.251245
1487,-707397.578958
1488,-707830.187871
1489,-707788.993928
1490,-707405.263986
1491,-705619.437525
1492,-706117.162767
1493,-706435.820014
1494,-707759.293491
1495,-708435.63982
1496,-708975.756503
1497,-709122.154653
